=== Enumerating S with e_3 = 0 (identity in Z[ζ_36]), n=36 ===

  6-element S with 0∈S and e_3=0: 136 aligned + 1416 non-aligned = 1552 total

--- Non-aligned S with e_3=0 ---
                                       S        N(e1)        N(e4)      gcd               primes
----------------------------------------------------------------------------------------------------
                  (0, 3, 12, 14, 21, 30)            9            1        1                   []
                  (0, 3, 12, 15, 21, 30)            1            1        1                   []
                  (0, 3, 12, 16, 21, 30)            1            1        1                   []
                  (0, 3, 12, 16, 24, 35)           37           37       37                 [37]
                  (0, 3, 12, 17, 21, 30)            1            1        1                   []
                  (0, 3, 12, 17, 24, 34)          181          181      181                [181]
                  (0, 3, 12, 18, 24, 33)           64           64       64                   []
                  (0, 3, 12, 19, 21, 30)            1            1        1                   []
                  (0, 3, 12, 19, 24, 32)           37           37       37                 [37]
                  (0, 3, 12, 20, 21, 30)            1            1        1                   []
                  (0, 3, 12, 20, 24, 31)           37           37       37                 [37]
                  (0, 3, 12, 21, 22, 30)            9            1        1                   []
                  (0, 3, 12, 21, 23, 30)            1            1        1                   []
                  (0, 3, 12, 21, 24, 30)            1            1        1                   []
                  (0, 3, 12, 21, 25, 30)            1            1        1                   []
                  (0, 3, 12, 21, 26, 30)            9            1        1                   []
                  (0, 3, 12, 21, 27, 30)           64            1        1                   []
                  (0, 3, 12, 21, 28, 30)            1            1        1                   []
                  (0, 3, 12, 21, 29, 30)            1            1        1                   []
                  (0, 3, 12, 21, 30, 31)            1            1        1                   []
                  (0, 3, 12, 21, 30, 32)            1            1        1                   []
                  (0, 3, 12, 21, 30, 33)            1            1        1                   []
                  (0, 3, 12, 21, 30, 34)            9            1        1                   []
                  (0, 3, 12, 21, 30, 35)            1            1        1                   []
                  (0, 3, 12, 22, 24, 29)          181          181      181                [181]
                  (0, 3, 12, 23, 24, 28)           37           37       37                 [37]
                  (0, 3, 12, 24, 25, 26)          181          181      181                [181]
                  (0, 3, 13, 14, 15, 27)          181          181      181                [181]
                  (0, 3, 13, 17, 18, 29)            1         1369        1                   []
                  (0, 3, 13, 18, 23, 33)            9            1        1                   []
